Source,Target,EdgeType,Weight
215,93,采用,1
215,31,使用,1
215,144,风险等级,1
215,144,精度等级,1
5,234,从事,1
5,22,掌握,1
22,17,应用于,1
5,310,体现,1
5,116,体现,1
5,152,体现,1
5,17,属于,1
5,334,采用,1
5,31,使用,1
5,42,风险等级,1
5,144,精度等级,1
260,117,从事,1
260,329,掌握,1
329,213,应用于,1
260,116,体现,1
260,157,体现,1
260,139,体现,1
260,213,属于,1
260,284,采用,1
260,31,使用,1
260,42,风险等级,1
260,146,精度等级,1
85,278,从事,1
85,261,掌握,1
261,17,应用于,1
85,310,体现,1
85,116,体现,1
85,152,体现,1
85,17,属于,1
85,334,采用,1
85,31,使用,1
85,67,风险等级,1
85,144,精度等级,1
318,136,从事,1
318,315,掌握,1
315,17,应用于,1
318,152,体现,1
318,116,体现,1
318,157,体现,1
318,17,属于,1
318,334,采用,1
318,31,使用,1
318,67,风险等级,1
318,144,精度等级,1
277,203,从事,1
277,319,掌握,1
319,213,应用于,1
277,116,体现,1
277,238,体现,1
238,213,属于,1
277,110,体现,1
110,213,属于,1
277,213,属于,1
277,284,采用,1
277,31,使用,1
277,67,风险等级,1
277,146,精度等级,1
165,75,从事,1
165,186,掌握,1
186,213,应用于,1
165,330,体现,1
165,116,体现,1
165,139,体现,1
165,213,属于,1
165,93,采用,1
165,151,使用,1
165,42,风险等级,1
165,146,精度等级,1
172,204,从事,1
172,58,掌握,1
58,340,应用于,1
172,116,体现,1
172,139,体现,1
172,310,体现,1
172,340,属于,1
172,284,采用,1
172,151,使用,1
172,144,风险等级,1
172,146,精度等级,1
97,80,从事,1
97,79,掌握,1
79,202,应用于,1
97,310,体现,1
310,202,属于,1
97,116,体现,1
97,326,体现,1
326,202,属于,1
97,202,属于,1
97,93,采用,1
97,31,使用,1
97,144,风险等级,1
97,144,精度等级,1
11,112,从事,1
11,217,掌握,1
217,340,应用于,1
11,310,体现,1
11,116,体现,1
11,264,体现,1
264,340,属于,1
11,340,属于,1
11,284,采用,1
11,31,使用,1
11,144,风险等级,1
11,146,精度等级,1
53,226,从事,1
53,160,掌握,1
160,213,应用于,1
53,116,体现,1
53,139,体现,1
53,108,体现,1
108,213,属于,1
53,213,属于,1
53,284,采用,1
53,151,使用,1
53,144,风险等级,1
53,146,精度等级,1
100,90,从事,1
100,164,掌握,1
164,213,应用于,1
100,157,体现,1
100,116,体现,1
100,63,体现,1
63,213,属于,1
100,213,属于,1
100,93,采用,1
100,151,使用,1
100,42,风险等级,1
100,144,精度等级,1
166,109,从事,1
166,195,掌握,1
195,17,应用于,1
166,116,体现,1
166,152,体现,1
166,310,体现,1
166,17,属于,1
166,334,采用,1
166,31,使用,1
166,67,风险等级,1
166,144,精度等级,1
104,41,从事,1
104,298,掌握,1
298,16,应用于,1
104,320,体现,1
320,16,属于,1
104,139,体现,1
139,16,属于,1
104,140,体现,1
140,16,属于,1
104,16,属于,1
104,334,采用,1
104,65,使用,1
104,67,风险等级,1
104,42,精度等级,1
47,81,从事,1
47,292,掌握,1
292,213,应用于,1
47,116,体现,1
47,157,体现,1
47,139,体现,1
47,213,属于,1
47,284,采用,1
47,31,使用,1
47,42,风险等级,1
47,144,精度等级,1
134,15,从事,1
134,91,掌握,1
91,213,应用于,1
134,116,体现,1
134,157,体现,1
134,108,体现,1
134,213,属于,1
134,284,采用,1
134,31,使用,1
134,42,风险等级,1
134,146,精度等级,1
24,219,从事,1
24,197,掌握,1
197,213,应用于,1
24,116,体现,1
24,333,体现,1
333,213,属于,1
24,198,体现,1
198,213,属于,1
24,213,属于,1
24,284,采用,1
24,31,使用,1
24,42,风险等级,1
24,144,精度等级,1
237,221,从事,1
237,293,掌握,1
293,202,应用于,1
237,116,体现,1
237,161,体现,1
161,202,属于,1
237,152,体现,1
152,202,属于,1
237,202,属于,1
237,284,采用,1
237,31,使用,1
237,42,风险等级,1
237,146,精度等级,1
235,239,从事,1
235,154,掌握,1
154,17,应用于,1
235,116,体现,1
235,191,体现,1
191,17,属于,1
235,29,体现,1
29,17,属于,1
235,17,属于,1
235,334,采用,1
235,31,使用,1
235,67,风险等级,1
235,146,精度等级,1
301,309,从事,1
301,113,掌握,1
113,62,应用于,1
301,116,体现,1
301,282,体现,1
282,62,属于,1
301,244,体现,1
244,62,属于,1
301,62,属于,1
301,284,采用,1
301,151,使用,1
301,144,风险等级,1
301,146,精度等级,1
125,232,从事,1
125,208,掌握,1
208,340,应用于,1
125,116,体现,1
125,20,体现,1
20,340,属于,1
125,267,体现,1
267,340,属于,1
125,340,属于,1
125,284,采用,1
125,151,使用,1
125,144,风险等级,1
125,146,精度等级,1
